CA,AA,CB,AB,DOM,INT,PRED,ZA,ZB,TA,TB,AT
ANT+PT+AT,El Incursor,ANT+AT+PT,El Estratega Salvaje,B,=,@EQUIL El Incursor y El Estratega Salvaje.,"@ZK_B, @ZK_C, @ZK_D","@ZK_B, @ZK_D, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Estratega Salvaje @ZB_ACT y El Estratega Salvaje @ZD_TEC y El Estratega Salvaje @ZC_PREC,
ANT+PT+AT,El Incursor,ANT+PNT+AT,,B,=,@EQUIL El Incursor y nan.,"@ZK_B, @ZK_C, @ZK_D","@ZK_B, @ZK_A, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,nan @ZB_ACT y nan @ZR_DEF y nan @ZD_TEC,
ANT+PT+AT,El Incursor,ANT+PT+AT,El Incursor,=,=,@EQUIL El Incursor y El Incursor.,"@ZK_B, @ZK_C, @ZK_D","@ZK_B, @ZK_C, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,
ANT+PT+AT,El Incursor,AT+ANT+PNT,El Inquebrantable,B,=,@EQUIL El Incursor y El Inquebrantable.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_B, @ZK_A",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,
ANT+PT+AT,El Incursor,AT+ANT+PT,El Arquitecto del Caos,A,=,@EQUIL El Incursor y El Arquitecto del Caos.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_B, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,
ANT+PT+AT,El Incursor,AT+PNT+ANT,El León Técnico,B,=,@EQUIL El Incursor y El León Técnico.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_A, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El León Técnico @ZD_TEC y El León Técnico @ZR_DEF y El León Técnico @ZB_ACT,
ANT+PT+AT,El Incursor,AT+PNT+PT,El Guerrero del Muro,A,=,@EQUIL El Incursor y El Guerrero del Muro.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_A, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Guerrero del Muro @ZD_TEC y El Guerrero del Muro @ZR_DEF y El Guerrero del Muro @ZC_PREC,
ANT+PT+AT,El Incursor,AT+PT+ANT,El Alquimista del Ritmo,A,=,@EQUIL El Incursor y El Alquimista del Ritmo.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_C, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Alquimista del Ritmo @ZD_TEC y El Alquimista del Ritmo @ZC_PREC y El Alquimista del Ritmo @ZB_ACT,
ANT+PT+AT,El Incursor,AT+PT+PNT,El Sabio de Hierro,A,=,@EQUIL El Incursor y El Sabio de Hierro.,"@ZK_B, @ZK_C, @ZK_D","@ZK_D, @ZK_C, @ZK_A",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Sabio de Hierro @ZD_TEC y El Sabio de Hierro @ZC_PREC y El Sabio de Hierro @ZR_DEF,
ANT+PT+AT,El Incursor,PNT+ANT+AT,El Fénix del Caos,B,=,@EQUIL El Incursor y El Fénix del Caos.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_B, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Fénix del Caos @ZR_DEF y El Fénix del Caos @ZB_ACT y El Fénix del Caos @ZD_TEC,
ANT+PT+AT,El Incursor,PNT+AT+ANT,El Legionario,B,=,@EQUIL El Incursor y El Legionario.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_D, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,
ANT+PT+AT,El Incursor,PNT+AT+PT,El Centinela de Acero,A,=,@EQUIL El Incursor y El Centinela de Acero.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_D, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,
ANT+PT+AT,El Incursor,PNT+PT+AT,El Bastión del Ritmo,A,=,@EQUIL El Incursor y El Bastión del Ritmo.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_C, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,
ANT+PT+AT,El Incursor,PT+ANT+AT,El Constructor del Combate,A,=,@EQUIL El Incursor y El Constructor del Combate.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_B, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,
ANT+PT+AT,El Incursor,PT+AT+ANT,El Estrangulador Táctico,A,VL,@VENT_LIG El Incursor.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_D, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,
ANT+PT+AT,El Incursor,PT+AT+PNT,El Táctico Blindado,A,VL,@VENT_LIG El Incursor.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_D, @ZK_A",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,
ANT+PT+AT,El Incursor,PT+PNT+AT,El Monje de la Jaula,A,VL,@VENT_LIG El Incursor.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_A, @ZK_D",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,
ANT+PT+AT,El Incursor,ANT+PNT+PT,El Ciclón Imparable,B,=,@EQUIL El Incursor y El Ciclón Imparable.,"@ZK_B, @ZK_C, @ZK_D","@ZK_B, @ZK_A, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,
ANT+PT+AT,El Incursor,ANT+PT+PNT,El Gladiador Salvaje,=,=,@EQUIL El Incursor y El Gladiador Salvaje.,"@ZK_B, @ZK_C, @ZK_D","@ZK_B, @ZK_C, @ZK_A",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Gladiador Salvaje @ZB_ACT y El Gladiador Salvaje @ZC_PREC y El Gladiador Salvaje @ZR_DEF,
ANT+PT+AT,El Incursor,PNT+ANT+PT,El Martillo de Hierro,A,=,@EQUIL El Incursor y El Martillo de Hierro.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_B, @ZK_C",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Martillo de Hierro @ZR_DEF y El Martillo de Hierro @ZB_ACT y El Martillo de Hierro @ZC_PREC,
ANT+PT+AT,El Incursor,PNT+PT+ANT,El Coloso Salvaje,A,=,@EQUIL El Incursor y El Coloso Salvaje.,"@ZK_B, @ZK_C, @ZK_D","@ZK_A, @ZK_C, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Coloso Salvaje @ZR_DEF y El Coloso Salvaje @ZC_PREC y El Coloso Salvaje @ZB_ACT,
ANT+PT+AT,El Incursor,PT+ANT+PNT,El Bárbaro del Octágono,A,=,@EQUIL El Incursor y El Bárbaro del Octágono.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_B, @ZK_A",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Bárbaro del Octágono @ZC_PREC y El Bárbaro del Octágono @ZB_ACT y El Bárbaro del Octágono @ZR_DEF,
ANT+PT+AT,El Incursor,PT+PNT+ANT,El Titán Silencioso,A,VL,@VENT_LIG El Incursor.,"@ZK_B, @ZK_C, @ZK_D","@ZK_C, @ZK_A, @ZK_B",El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,El Titán Silencioso @ZC_PREC y El Titán Silencioso @ZR_DEF y El Titán Silencioso @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,ANT,El Depredador,B,VL,@VENT_LIG El Depredador.,"@ZK_D, @ZK_B, @ZK_A",@ZK_B,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Depredador @ZB_ACT,Enfrentamiento entre arquetipo triple y simple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,AT,El Estratega,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A",@ZK_D,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Estratega @ZD_TEC,Enfrentamiento entre arquetipo triple y simple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PNT,El Escudo,B,VL,@VENT_LIG El Escudo.,"@ZK_D, @ZK_B, @ZK_A",@ZK_A,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Escudo @ZR_DEF,Enfrentamiento entre arquetipo triple y simple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PT,El Francotirador,A,VA,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A",@ZK_C,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Francotirador @ZC_PREC,Enfrentamiento entre arquetipo triple y simple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,ANT+AT,El Vendaval,B,=,@EQUIL El Inquebrantable y El Vendaval.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Vendaval @ZB_ACT y El Vendaval @ZD_TEC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,AT+ANT,El Huracán,A,=,@EQUIL El Inquebrantable y El Huracán.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Huracán @ZD_TEC y El Huracán @ZB_ACT,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,AT+PNT,El Guardián,A,=,@EQUIL El Inquebrantable y El Guardián.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Guardián @ZD_TEC y El Guardián @ZR_DEF,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,AT+PT,El Cirujano,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PNT+AT,El Bastión Técnico,B,=,@EQUIL El Inquebrantable y El Bastión Técnico.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PT+AT,El Maestro del Pulso,A,VA,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Maestro del Pulso @ZC_PREC y El Maestro del Pulso @ZD_TEC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,ANT+PNT,La Bestia,B,VL,@VENT_LIG La Bestia.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,La Bestia @ZB_ACT y La Bestia @ZR_DEF,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,ANT+PT,El Castigador,A,=,@EQUIL El Inquebrantable y El Castigador.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Castigador @ZB_ACT y El Castigador @ZC_PREC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PNT+ANT,El Feral,B,VL,@VENT_LIG El Feral.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Feral @ZR_DEF y El Feral @ZB_ACT,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PT+ANT,El Demoledor Silencioso,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Demoledor Silencioso @ZC_PREC y El Demoledor Silencioso @ZB_ACT,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PNT+PT,El Ancla,A,=,@EQUIL El Inquebrantable y El Ancla.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Ancla @ZR_DEF y El Ancla @ZC_PREC,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,PT+PNT,La Muralla,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,La Muralla @ZC_PREC y La Muralla @ZR_DEF,Enfrentamiento entre arquetipo triple y dual. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+ANT+PNT,El Inquebrantable,ANT+AT+PNT,El Coloso del Centro,B,=,@EQUIL El Inquebrantable y El Coloso del Centro.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_D, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Coloso del Centro @ZB_ACT y El Coloso del Centro @ZD_TEC y El Coloso del Centro @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,ANT+AT+PT,El Estratega Salvaje,A,=,@EQUIL El Inquebrantable y El Estratega Salvaje.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_D, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Estratega Salvaje @ZB_ACT y El Estratega Salvaje @ZD_TEC y El Estratega Salvaje @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,ANT+PNT+AT,,B,=,@EQUIL El Inquebrantable y nan.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_A, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,nan @ZB_ACT y nan @ZR_DEF y nan @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,ANT+PT+AT,El Incursor,A,=,@EQUIL El Inquebrantable y El Incursor.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_C, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,AT+ANT+PNT,El Inquebrantable,=,=,@EQUIL El Inquebrantable y El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_B, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,AT+ANT+PT,El Arquitecto del Caos,A,=,@EQUIL El Inquebrantable y El Arquitecto del Caos.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_B, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,AT+PNT+ANT,El León Técnico,B,=,@EQUIL El Inquebrantable y El León Técnico.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_A, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El León Técnico @ZD_TEC y El León Técnico @ZR_DEF y El León Técnico @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,AT+PNT+PT,El Guerrero del Muro,A,=,@EQUIL El Inquebrantable y El Guerrero del Muro.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_A, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Guerrero del Muro @ZD_TEC y El Guerrero del Muro @ZR_DEF y El Guerrero del Muro @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,AT+PT+ANT,El Alquimista del Ritmo,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_C, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Alquimista del Ritmo @ZD_TEC y El Alquimista del Ritmo @ZC_PREC y El Alquimista del Ritmo @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,AT+PT+PNT,El Sabio de Hierro,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_D, @ZK_C, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Sabio de Hierro @ZD_TEC y El Sabio de Hierro @ZC_PREC y El Sabio de Hierro @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,PNT+ANT+AT,El Fénix del Caos,B,=,@EQUIL El Inquebrantable y El Fénix del Caos.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_B, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Fénix del Caos @ZR_DEF y El Fénix del Caos @ZB_ACT y El Fénix del Caos @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,PNT+AT+ANT,El Legionario,B,=,@EQUIL El Inquebrantable y El Legionario.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_D, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,PNT+AT+PT,El Centinela de Acero,A,=,@EQUIL El Inquebrantable y El Centinela de Acero.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_D, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,PNT+PT+AT,El Bastión del Ritmo,A,=,@EQUIL El Inquebrantable y El Bastión del Ritmo.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_C, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,PT+ANT+AT,El Constructor del Combate,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_B, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,PT+AT+ANT,El Estrangulador Táctico,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_D, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,PT+AT+PNT,El Táctico Blindado,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_D, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,PT+PNT+AT,El Monje de la Jaula,A,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_A, @ZK_D",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,
AT+ANT+PNT,El Inquebrantable,ANT+PNT+PT,El Ciclón Imparable,B,=,@EQUIL El Inquebrantable y El Ciclón Imparable.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_A, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,ANT+PT+PNT,El Gladiador Salvaje,B,=,@EQUIL El Inquebrantable y El Gladiador Salvaje.,"@ZK_D, @ZK_B, @ZK_A","@ZK_B, @ZK_C, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Gladiador Salvaje @ZB_ACT y El Gladiador Salvaje @ZC_PREC y El Gladiador Salvaje @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,PNT+ANT+PT,El Martillo de Hierro,B,=,@EQUIL El Inquebrantable y El Martillo de Hierro.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_B, @ZK_C",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Martillo de Hierro @ZR_DEF y El Martillo de Hierro @ZB_ACT y El Martillo de Hierro @ZC_PREC,
AT+ANT+PNT,El Inquebrantable,PNT+PT+ANT,El Coloso Salvaje,B,=,@EQUIL El Inquebrantable y El Coloso Salvaje.,"@ZK_D, @ZK_B, @ZK_A","@ZK_A, @ZK_C, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Coloso Salvaje @ZR_DEF y El Coloso Salvaje @ZC_PREC y El Coloso Salvaje @ZB_ACT,
AT+ANT+PNT,El Inquebrantable,PT+ANT+PNT,El Bárbaro del Octágono,A,=,@EQUIL El Inquebrantable y El Bárbaro del Octágono.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_B, @ZK_A",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Bárbaro del Octágono @ZC_PREC y El Bárbaro del Octágono @ZB_ACT y El Bárbaro del Octágono @ZR_DEF,
AT+ANT+PNT,El Inquebrantable,PT+PNT+ANT,El Titán Silencioso,A,=,@EQUIL El Inquebrantable y El Titán Silencioso.,"@ZK_D, @ZK_B, @ZK_A","@ZK_C, @ZK_A, @ZK_B",El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,El Titán Silencioso @ZC_PREC y El Titán Silencioso @ZR_DEF y El Titán Silencioso @ZB_ACT,
AT+ANT+PT,El Arquitecto del Caos,ANT,El Depredador,B,VL,@VENT_LIG El Depredador.,"@ZK_D, @ZK_B, @ZK_C",@ZK_B,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,El Depredador @ZB_ACT,Enfrentamiento entre arquetipo triple y simple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
