Fighter,Division,division_ranking,Birth_Date,Career_Record,Sig_Strikes_Thrown,Sig_Strikes_Landed,Sig_Strikes_Absorbed,Takedowns_Attempted,Takedowns_Successful,Takedowns_Defended,Sub_Attempts,Sub_Attempts_Defended,Knockdowns,Knockdowns_Received,Control_Time_Seconds,Time_Controlled_Seconds,height_inches,reach_inches,win,loss,draws,win_kotko,win_sub,win_decision,loss_kotko,loss_sub,loss_decision,Fight_Duration_Seconds,significant_strikes_attempted_against,takedowns_attempted_against,takedowns_allowed,submission_attempts_against,Number_of_Fights_36m,Dates_36m,picture_url,ufcstats_url
Karolina Kowalkiewicz,W_Strawweight,,15-10-1985,16-10-0,905,440,460,13,2,11,0,1,0,0,340,802,63,64,2,3,0,0,0,2,1,0,2,875,1015,15,4,1,5,"11-10-2025:abb68e3c7ca128f2:L,09-11-2024:cffb87059e645bd1:L,04-05-2024:abcf2cc6efc42031:L,07-10-2023:d7e40dca3ae125be:W,20-05-2023:2c483cf443f38ece:W",img/karolina_kowalkiewicz.png,http://ufcstats.com/fighter-details/d7c3816669784109
Kaynan Kruschewsky (Bahia),Lightweight,,04-04-1991,15-3-0 (1 NC),187,97,108,3,3,3,2,0,0,1,167,324,72,73,0,2,0,0,0,0,1,0,1,570,204,4,1,0,2,"20-07-2024:a7151778b3381036:L,04-11-2023:48a9a128784d53d1:L",img/kaynan_kruschewsky.png,http://ufcstats.com/fighter-details/ca36633b80be4a78
Rizvan Kuniev,Heavyweight,7,10-03-1992,13-3-1 (1 NC),201,88,87,0,0,21,0,0,0,0,421,405,76,76,1,1,0,0,0,1,0,0,1,900,162,23,2,0,2,"07-02-2026:41e83a89929d1327:W,21-06-2025:fa6796c55d6c5440:L",img/rizvan_kuniev.png,http://ufcstats.com/fighter-details/739fd4fbb5d862f4
Guram Kutateladze (Georgian Viking),Lightweight,,08-01-1992,13-5-0,302,144,178,12,2,10,0,0,0,4,393,543,71,72,1,2,0,0,0,1,1,0,1,865,366,14,4,0,3,"22-03-2025:ec13c393d029297d:L,03-08-2024:6d38e41efa47a72d:W,01-07-2023:48a9a128784d53d1:L",img/guram_kutateladze.png,http://ufcstats.com/fighter-details/7772b283d288dbe2
Daniel Lacerda (Miojo),Flyweight,,05-06-1996,11-6-0 (1 NC),148,56,104,5,3,0,2,2,2,0,160,188,66,70,0,2,0,0,0,0,1,1,0,302,179,0,0,3,3,"24-02-2024:5ef94841c4bc3f86:L,16-09-2023:5ef94841c4bc3f86:NC,25-03-2023:077e3ace32b72be9:L",img/daniel_lacerda.png,http://ufcstats.com/fighter-details/31bb0772f21cabd8
Luan Lacerda,Bantamweight,,07-01-1993,13-3-0,271,114,191,19,8,2,2,0,0,0,578,273,67,71,1,2,0,0,1,0,1,0,1,656,390,4,2,0,3,"14-03-2026:ec3bd30378d63dd1:L,11-10-2025:72ea1984c52019b5:W,03-06-2023:da22387a0407a2dc:L",img/luan_lacerda.png,http://ufcstats.com/fighter-details/6fc506e1099afe20
Yohan Lainesse (White Lion),Welterweight,,14-08-1992,9-3-0,9,1,5,0,0,0,0,0,0,0,5,41,73,76,0,1,0,0,0,0,0,1,0,123,10,1,1,1,1,20-01-2024:8b6e5dc2ba1edbe7:L,img/yohan_lainesse.png,http://ufcstats.com/fighter-details/f998f5c102250d6e
Nate Landwehr (The Train),Featherweight,,06-06-1988,18-7-0,646,263,320,6,1,4,1,0,1,2,119,538,69,72,2,3,0,1,1,0,2,0,1,632,655,10,6,0,5,"12-07-2025:5b03b61f9d90125e:L,07-12-2024:e93b04e308913c2e:L,30-03-2024:e00a3dee329a51f7:W,10-06-2023:82a5152216251682:L,25-03-2023:305d73ede05e31ad:W",img/nate_landwehr.png,http://ufcstats.com/fighter-details/583ee11abddfc581
Austen Lane,Light_Heavyweight,,09-11-1987,13-7-0 (1 NC),161,85,78,13,4,1,0,1,1,3,860,238,78,80,1,4,0,0,0,1,3,1,0,339,125,2,1,2,6,"12-07-2025:71171fc96445bf65:L,01-03-2025:39d309957c5c210d:L,19-10-2024:140567899d98978a:W,27-04-2024:25f9a5f3e8a52618:L,09-09-2023:e13abac8089a801a:L,24-06-2023:e13abac8089a801a:NC",img/austen_lane.png,http://ufcstats.com/fighter-details/be9bdec19b7e9ffe
Taylor Lapilus (Double Impact),Bantamweight,,08-04-1992,21-4-0,638,318,188,1,0,29,0,1,0,0,57,1190,66,73,3,1,0,0,0,3,0,0,1,900,516,39,10,1,4,"28-09-2024:37098a6e6c27fb66:W,08-06-2024:bf7ad5628363eec9:W,13-01-2024:a09ed60aa67a3f67:L,02-09-2023:42ac4020cba261ad:W",img/taylor_lapilus.png,http://ufcstats.com/fighter-details/8b1ed83b02303075
Ilir Latifi (The Sledgehammer),Heavyweight,,28-07-1982,17-9-0 (1 NC),77,49,68,7,2,0,0,0,0,0,230,0,70,73,0,1,0,0,0,0,0,0,1,900,152,0,0,0,1,20-05-2023:d31a5546c0e9b213:L,img/ilir_latifi.png,http://ufcstats.com/fighter-details/e9a3aeb207578eea
Robbie Lawler (Ruthless),Welterweight,,20-03-1982,30-16-0 (1 NC),10,8,2,0,0,0,0,0,1,0,0,0,71,74,1,0,0,1,0,0,0,0,0,38,7,0,0,0,1,08-07-2023:d8da10db80131bec:W,img/robbie_lawler.png,http://ufcstats.com/fighter-details/f2925e6db404bf1d
Ronnie Lawrence (The Heat),Bantamweight,,13-06-1992,8-2-0 (1 NC),2,1,4,0,0,0,0,2,0,0,3,128,68,68,0,0,0,0,0,0,0,0,0,140,4,1,1,2,1,17-06-2023:e4ba58725825412d:NC,img/ronnie_lawrence.png,http://ufcstats.com/fighter-details/e7e01e266a9d4342
Quang Le (Bang),Bantamweight,,18-10-1991,9-3-0,262,102,166,21,7,4,1,0,0,3,605,85,67,70,1,3,0,0,1,0,2,0,1,542,330,4,0,0,4,"13-09-2025:faf317c665546a36:L,03-05-2025:96924b0019b3aff1:W,23-11-2024:86bace9e4ad85542:L,10-08-2024:45f0cc9d18f35137:L",img/quang_le.png,http://ufcstats.com/fighter-details/32feae6d9a1e5047
Carlos Leal (The Lion),Welterweight,,04-05-1994,23-7-0,651,306,272,9,1,20,0,0,0,1,156,220,71,74,2,2,0,1,0,1,1,0,1,524,531,22,2,0,4,"21-02-2026:c68c68efaa5ca6ef:W,26-07-2025:447f9858ae78f921:L,08-03-2025:cdb96af67d096b1e:W,26-10-2024:8f765fd5775a8873:L",img/carlos_leal.png,http://ufcstats.com/fighter-details/28d421729451c8ca
Jordan Leavitt (The Monkey King),Featherweight,,02-06-1995,13-3-0,50,21,14,14,7,0,1,0,0,0,623,194,69,71,2,1,0,0,1,1,0,1,0,392,46,0,0,1,3,"21-02-2026:70380ccdc81915b8:W,31-05-2025:a7151778b3381036:W,18-11-2023:971246648e162f0d:L",img/jordan_leavitt.png,http://ufcstats.com/fighter-details/ac026518a9b4dc0f
Jean-Paul Lebosnoyani (Mufasa),Welterweight,,27-01-1999,10-2-0,111,66,54,9,3,0,2,0,0,0,317,15,71,72,1,0,0,0,0,1,0,0,0,900,111,0,0,0,1,21-02-2026:8e382b585a92affe:W,img/jean-paul_lebosnoyani.png,http://ufcstats.com/fighter-details/a3dda21be645be93
Kevin Lee (The Motown Phenom),Welterweight,,04-09-1992,18-8-0,8,3,11,0,0,0,0,0,0,1,0,20,69,77,0,1,0,0,0,0,0,1,0,55,17,0,0,1,1,01-07-2023:8f765fd5775a8873:L,img/kevin_lee.png,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
JeongYeong Lee (Korean Tiger),Featherweight,,13-11-1995,11-3-0,242,121,151,3,2,15,0,0,0,0,273,684,70,73,1,2,0,0,0,1,1,0,1,621,301,21,6,0,3,"10-05-2025:b67d6bacc68d4c92:L,20-07-2024:41cc71cbf210e0fe:L,03-02-2024:5095b0920a3602aa:W",img/jeongyeong_lee.png,http://ufcstats.com/fighter-details/d008d785f6347dc2
ChangHo Lee,Bantamweight,,09-05-1994,11-2-0,219,143,102,21,7,6,1,0,0,0,831,862,68,69,2,1,0,1,0,1,0,0,1,776,159,12,6,0,3,"01-11-2025:0e46690e55a8df75:L,05-04-2025:8173f134396cb971:W,22-06-2024:86bace9e4ad85542:W",img/changho_lee.png,http://ufcstats.com/fighter-details/117a06469813e4ef
Victoria Leonardo (Fury),W_Flyweight,,16-02-1990,9-7-0,27,8,30,1,0,0,0,0,0,2,0,18,65,64,0,2,0,0,0,0,2,0,0,120,71,0,0,0,2,"24-08-2024:2997e7fe3c9d3d4a:L,20-05-2023:262d32ebda89efc4:L",img/victoria_leonardo.png,http://ufcstats.com/fighter-details/9dedfdd91070ddd8
Natan Levy (Lethal),Lightweight,,30-09-1991,8-2-0,9,8,3,1,1,0,0,0,0,1,34,311,69,71,0,1,0,0,0,0,0,1,0,403,7,0,0,1,1,16-03-2024:fb3e61720be4690c:L,img/natan_levy.png,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5
Li Jingliang (The Leech),Welterweight,,20-03-1988,19-9-0,111,41,55,0,0,0,0,0,0,3,23,4,72,71,0,1,0,0,0,0,1,0,0,542,84,0,0,0,1,17-08-2024:7ee0fd831c0fe7c3:L,img/li_jingliang.png,http://ufcstats.com/fighter-details/e64b96c07d7ce999
Liang Na (The Dragon Girl),W_Flyweight,,27-07-1996,19-8-0,93,35,83,6,4,1,0,0,0,0,269,648,65,67,0,2,0,0,0,0,1,1,0,639,138,4,3,1,2,"27-04-2024:38c5817ade8a8014:L,26-08-2023:6fd953151d981979:L",img/liang_na.png,http://ufcstats.com/fighter-details/ec0dcceace7d25a3
Andre Lima (Mascote),Flyweight,,04-02-1999,11-0-0,354,207,139,7,5,17,5,0,0,0,863,247,67,67,4,0,0,0,1,3,0,0,0,764,309,24,7,0,4,"15-03-2025:e8fe9c15d348e778:W,07-09-2024:5cdf5339728f580d:W,01-06-2024:0be6776db31d98ec:W,23-03-2024:6ad8e4296f7522d9:W",img/andre_lima.png,http://ufcstats.com/fighter-details/b1f21ce050035d58
Felipe Lima (Jungle Boy),Bantamweight,,07-05-1998,14-2-0,262,118,120,22,6,6,2,0,0,0,444,540,66,68,2,1,0,0,1,1,0,0,1,825,340,7,1,0,3,"28-06-2025:6e743a33d56bdaa4:L,14-12-2024:46e0d677f91bacc0:W,22-06-2024:8d11d9c13e2ccdf7:W",img/felipe_lima.png,http://ufcstats.com/fighter-details/9256f591b30c073e
Austin Lingo (Lights Out),Featherweight,,10-07-1994,9-3-0,285,87,164,0,0,6,0,1,0,0,0,188,70,70,0,2,0,0,0,0,0,1,1,725,373,10,4,2,2,"15-07-2023:20bccc9bb4ceb23e:L,25-03-2023:583ee11abddfc581:L",img/austin_lingo.png,http://ufcstats.com/fighter-details/305d73ede05e31ad
Philipe Lins (Monstro),Light_Heavyweight,,17-08-1985,18-5-0,221,112,88,10,3,4,0,0,0,0,838,52,74,78,2,0,0,0,0,2,0,0,0,900,177,4,0,0,2,"09-03-2024:cd13728ae1151f46:W,03-06-2023:950d0ef5c17157c5:W",img/philipe_lins.png,http://ufcstats.com/fighter-details/53c943c873cffe90
Tainara Lisboa (Thai Panther),W_Bantamweight,,02-03-1991,7-4-0,244,108,155,19,6,8,1,0,0,1,683,1560,67,67,2,2,0,0,1,1,1,1,0,807,285,15,7,1,4,"18-10-2025:51e2f44a8dbf6984:L,17-05-2025:5078e1dacf9d25f4:L,14-10-2023:4948e412fa6ab67d:W,13-05-2023:6c8072b61c276e67:W",img/tainara_lisboa.png,http://ufcstats.com/fighter-details/2c5f5749569eef66
James Llontop (Goku),Catch Weight,,02-08-1999,14-5-0,525,202,175,6,0,1,0,0,0,1,85,99,72,73,0,3,0,0,0,0,0,1,2,691,368,4,3,1,3,"16-11-2024:9c393e836a852f30:L,24-08-2024:19c591115a58982c:L,27-04-2024:06626b6287e1ae1e:L",img/james_llontop.png,http://ufcstats.com/fighter-details/93b2b7caa457cbea
Ryan Loder (Man of Steel),Middleweight,,05-06-1991,8-3-0,81,56,27,7,1,2,1,2,0,3,298,164,74,76,1,2,0,1,0,0,2,0,0,219,54,2,0,2,3,"22-11-2025:6a96ad1bc34fb113:L,03-05-2025:3bc3f60b21cddc6a:L,24-08-2024:0cd0456d6029cec2:W",img/ryan_loder.png,http://ufcstats.com/fighter-details/d5bab53a1a603aac
Loma Lookboonmee,W_Strawweight,,18-01-1996,10-4-0,249,120,108,8,4,8,0,1,0,0,340,946,61,61,2,1,0,0,0,2,0,0,1,900,232,14,6,1,3,"27-09-2025:545092d13c67aa49:L,05-04-2025:efc67b07eed39794:W,10-02-2024:7138a15258dabf20:W",img/loma_lookboonmee.png,http://ufcstats.com/fighter-details/4e30e4250cb08b61
Ange Loosa (The Last Ninja),Welterweight,,18-03-1993,10-5-0 (1 NC),495,238,290,31,13,1,0,0,1,1,895,118,70,74,1,2,0,0,0,1,1,0,1,750,649,3,2,0,4,"14-06-2025:8e382b585a92affe:L,13-07-2024:01641ba5df0c69b0:L,16-03-2024:f626118b6da0e020:NC,02-09-2023:f748267c4ab6c127:W",img/ange_loosa.png,http://ufcstats.com/fighter-details/1497e735d9f2560a
Bruno Lopes (Brunao),Light_Heavyweight,,24-04-1993,14-2-0,79,36,48,14,5,3,0,0,0,1,559,44,74,74,1,1,0,0,0,1,1,0,0,505,96,3,0,0,2,"31-05-2025:e4277e87a789d687:L,11-01-2025:6e344b71421103da:W",img/bruno_lopes.png,http://ufcstats.com/fighter-details/0abcf6bc47191219
Caolan Loughran (The Don),Bantamweight,,18-05-1996,10-2-0,665,284,312,35,12,7,0,0,0,0,1133,288,66,68,2,2,0,0,0,2,0,0,2,900,651,8,1,0,4,"22-03-2025:a2d342ffc83913ed:W,27-07-2024:60a42bf82447c919:L,30-03-2024:07797f10b9569cfc:W,02-09-2023:8b1ed83b02303075:L",img/caolan_loughran.png,http://ufcstats.com/fighter-details/42ac4020cba261ad
Stephanie Luciano (Rondinha),W_Strawweight,,16-12-1999,7-2-1,550,214,141,6,4,14,1,1,1,0,318,299,66,65,2,1,0,0,1,1,0,0,1,856,406,18,4,1,3,"18-10-2025:4948e412fa6ab67d:W,15-03-2025:e94085e821bd81de:L,10-08-2024:d35298b6df168456:W",img/stephanie_luciano.png,http://ufcstats.com/fighter-details/1b35af4d1529adf6
Lawrence Lui (Lok Yin),Bantamweight,,04-08-1996,8-1-0,150,52,56,15,7,0,0,0,0,0,299,14,67,72,1,0,0,0,0,1,0,0,0,900,125,0,0,0,1,31-01-2026:1dd1a3aacde66f72:W,img/lawrence_lui_lok_yin.png,http://ufcstats.com/fighter-details/a1ad35b98a9136e5
Vicente Luque (The Silent Assassin),Middleweight,,27-11-1991,23-12-1,355,149,255,17,8,5,1,2,0,0,744,686,71,75,2,3,0,0,1,1,1,1,1,662,498,9,4,3,5,"11-10-2025:58bbef3770bb2dfc:L,07-06-2025:3a46b268013afede:L,07-12-2024:40f3cb27fc7305a1:W,30-03-2024:b9437600497350f3:L,12-08-2023:6a2f7c151031653d:W",img/vicente_luque.png,http://ufcstats.com/fighter-details/6d4b63c767106d3a
Tucker Lutz (Top Gun),Featherweight,,12-07-1994,12-4-0,187,64,88,13,3,1,0,1,0,1,466,182,68,72,0,2,0,0,0,0,0,1,1,685,153,2,1,2,2,"15-07-2023:a52bc1e62cf0b7c6:L,25-03-2023:361d49960a196976:L",img/tucker_lutz.png,http://ufcstats.com/fighter-details/7832f2f62f04178f
Caio Machado (Bigfoot),Light_Heavyweight,,20-07-1994,8-4-1,475,228,155,1,0,7,0,0,0,1,22,419,76,78,0,3,0,0,0,0,0,0,3,900,412,10,3,0,3,"02-11-2024:49edd0d90f60fb7d:L,27-04-2024:1a9480fc288e55d7:L,18-11-2023:0d5cc0170c1a7e71:L",img/caio_machado.png,http://ufcstats.com/fighter-details/89839250eb25c9c1
Mark Madsen (The Olympian),Lightweight,,23-09-1984,12-2-0,57,35,36,0,0,0,0,0,0,1,64,19,68,72,0,1,0,0,0,0,1,0,0,282,66,0,0,0,1,11-11-2023:7026eca45f65377b:L,img/mark_madsen.png,http://ufcstats.com/fighter-details/da0995f19b749cfa
Abus Magomedov,Middleweight,,02-09-1990,28-7-1,457,222,256,22,13,5,2,2,0,3,1172,357,74,78,3,3,0,0,1,2,1,1,1,743,578,5,0,3,6,"04-10-2025:c1085e1701b13eca:L,26-04-2025:595db60957de51d3:W,26-10-2024:1e719d4b676dc19a:W,18-05-2024:d317a5e2b3f88c5f:W,04-11-2023:4126a78111c0855a:L,01-07-2023:0d8011111be000b2:L",img/abus_magomedov.png,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Shara Magomedov (Bullet),Middleweight,,16-05-1994,16-1-0,775,488,317,1,0,20,0,0,2,0,116,1186,74,73,5,1,0,2,0,3,0,0,1,823,563,28,8,0,6,"26-07-2025:8e9eb3fc86db0f7d:W,01-02-2025:a67d071163962af8:L,26-10-2024:369ea36e450ae62a:W,03-08-2024:0d65c432720accb9:W,22-06-2024:6d48a2df51749d91:W,21-10-2023:12ebd7d157e91701:W",img/shara_magomedov.png,http://ufcstats.com/fighter-details/06734ca9d88dec3a
Maheshate,Lightweight,,01-12-1999,10-5-0,740,251,396,9,0,3,0,0,0,5,15,332,72,71,1,3,0,0,0,1,1,0,2,789,809,6,3,0,4,"23-08-2025:b2a78df161bd67f9:L,23-11-2024:37f560436d745c18:L,27-04-2024:436f970c9ea9169c:W,20-05-2023:19c591115a58982c:L",img/maheshate.png,http://ufcstats.com/fighter-details/8c1ca54b5089d199
Jennifer Maia,W_Flyweight,,06-10-1988,21-10-1,450,186,161,8,2,5,0,1,0,0,168,423,64,64,1,1,0,0,0,1,0,0,1,900,310,7,2,1,2,"14-10-2023:36541f1e6c5d4955:L,18-03-2023:04835018f90b118c:W",img/jennifer_maia.png,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
John Makdessi (The Bull),Lightweight,,03-05-1985,18-9-0,188,83,88,1,0,2,0,0,0,0,0,0,68,68,0,1,0,0,0,0,0,0,1,900,179,2,0,0,1,09-09-2023:af9f42e6894047fc:L,img/john_makdessi.png,http://ufcstats.com/fighter-details/c21a036b4e012f1c
Islam Makhachev,Welterweight,0,27-10-1991,28-1-0,261,148,105,23,10,1,3,0,1,0,1879,79,70,70,4,0,0,1,2,1,0,0,0,823,277,1,0,0,4,"15-11-2025:6b453bc35a823c3f:W,18-01-2025:b6452706b373eea1:W,01-06-2024:029eaff01e6bb8f0:W,21-10-2023:e1248941344b3288:W",img/islam_makhachev.png,http://ufcstats.com/fighter-details/275aca31f61ba28c
Azat Maksum (Qazaq),Flyweight,,02-02-1995,15-3-0,599,165,255,44,14,12,1,4,1,0,554,348,67,70,1,3,0,0,0,1,0,0,3,900,537,14,2,4,4,"25-10-2025:0be6776db31d98ec:L,21-06-2025:f00ac08ab056af5d:L,03-02-2024:814e5233e2acf2ee:L,15-07-2023:6e00cfffd54653c4:W",img/azat_maksum.png,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
Jacob Malkoun (Mamba),Middleweight,,26-08-1995,9-3-0,260,165,42,14,3,2,3,0,1,0,567,59,69,73,2,1,0,1,0,1,0,0,1,498,123,4,2,0,3,"31-01-2026:fbb60f24af5d5a02:W,30-03-2024:5f61780fe5e9b6d0:W,23-09-2023:f14f644d41ade29f:L",img/jacob_malkoun.png,http://ufcstats.com/fighter-details/d4270315cbcf2569
Mike Malott (Proper),Welterweight,,07-11-1991,13-2-1,394,208,162,13,7,1,2,0,2,0,604,141,73,73,4,1,0,1,1,2,1,0,0,675,378,3,2,0,5,"18-10-2025:3a46b268013afede:W,10-05-2025:feedf3053472fe56:W,02-11-2024:b27a1fcb56a3035a:W,20-01-2024:84b3e7d38f2d2ec5:L,10-06-2023:a01a62132460a98d:W",img/mike_malott.png,http://ufcstats.com/fighter-details/dd6103dd7127db1d
Nate Maness (Mayhem),Flyweight,,27-06-1991,16-3-0,203,118,40,0,0,10,2,2,0,0,354,235,70,72,2,0,0,1,0,1,0,0,0,590,82,11,1,2,2,"15-06-2024:09e62c450e754913:W,07-10-2023:48812daf291a4e23:W",img/nate_maness.png,http://ufcstats.com/fighter-details/6e9f40c706f91f32
Marnic Mann (The Sawed-Off Savage),W_Strawweight,,05-03-1993,6-3-0,106,39,161,7,2,2,1,0,0,0,207,840,60,64,0,2,0,0,0,0,0,0,2,900,244,6,4,0,2,"27-04-2024:8bd4200561c77a62:L,16-09-2023:971dba22c622af12:L",img/marnic_mann.png,http://ufcstats.com/fighter-details/b6203e0492a9336c
Dom Mar Fan (Street Buddha),Lightweight,,19-03-2000,9-2-0,173,99,68,4,1,9,0,0,0,0,187,330,71,75,1,0,0,0,0,1,0,0,0,900,134,10,1,0,1,31-01-2026:a264d4e9a4d6bfe4:W,img/dom_mar_fan_street_buddha.png,http://ufcstats.com/fighter-details/530af2900b5a1693
Daniel Marcos (Soncora),Bantamweight,,07-03-1993,18-1-0 (1 NC),663,357,312,16,9,13,1,1,1,0,889,562,67,69,4,1,0,0,1,3,0,0,1,778,736,16,3,1,6,"08-11-2025:46e0d677f91bacc0:W,03-05-2025:cc1a8b4b38b92c6d:L,14-12-2024:0232cabbc30a2372:W,08-06-2024:5fa2974cbd18e05c:W,10-02-2024:7d420039bbfe7c1a:NC,22-07-2023:113df4fde64735c6:W",img/daniel_marcos.png,http://ufcstats.com/fighter-details/850266b3dc4e506e
Chepe Mariscal (Machine Gun),Featherweight,,27-10-1992,18-7-0 (1 NC),622,345,222,33,13,16,1,1,0,0,1427,1235,67,69,5,1,0,1,0,4,0,0,1,833,466,27,11,1,6,"15-11-2025:b8bbdeff718dbb7d:L,01-03-2025:1ae8f3c723aacff4:W,10-08-2024:29af297d9f1de0f8:W,06-04-2024:5b03b61f9d90125e:W,09-09-2023:a9da3158dd2c2b5a:W,24-06-2023:0bc697c5936a2d0a:W",img/chepe_mariscal.png,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
Brendon Marotte (The Kid),Featherweight,,12-01-1996,8-3-0,8,4,55,0,0,0,0,1,0,1,0,567,69,70,0,2,0,0,0,0,1,1,0,289,77,2,2,2,2,"07-09-2024:a57cb948c4c70a47:L,14-10-2023:809bd1a871491508:L",img/brendon_marotte.png,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5
Julian Marquez (The Cuban Missile Crisis),Middleweight,,08-05-1990,9-6-0,74,38,50,0,0,1,1,0,0,2,30,51,74,72,0,2,0,0,0,0,2,0,0,152,88,1,0,0,2,"01-03-2025:f14f644d41ade29f:L,08-06-2024:23dec7c47cb418f8:L",img/julian_marquez.png,http://ufcstats.com/fighter-details/d0e1b42d41dab603
Francis Marshall (Fire),Featherweight,,03-03-1999,9-3-0,437,116,191,18,7,2,3,0,1,0,843,285,69,72,2,3,0,0,1,1,1,0,2,627,415,3,1,0,5,"28-02-2026:21b813b919776d90:W,08-03-2025:480779d7f9a424d3:L,24-08-2024:c4d039123e62f6a9:W,12-08-2023:a57cb948c4c70a47:L,22-04-2023:e1d40e8782d80bc2:L",img/francis_marshall.png,http://ufcstats.com/fighter-details/5d495dec23d7c68e
Jonathan Martinez (Dragon),Bantamweight,,20-04-1994,19-6-0,284,136,199,2,0,1,0,0,2,0,156,115,68,70,1,2,0,1,0,0,0,0,2,748,434,2,1,0,3,"16-11-2024:c0ac37a4a1133da9:L,04-05-2024:d0f3959b4a9747e6:L,14-10-2023:0232cabbc30a2372:W",img/jonathan_martinez.png,http://ufcstats.com/fighter-details/f2477cf43c4975cc
Victor Martinez (The Brick),Lightweight,,17-07-1991,13-6-0,26,18,33,1,0,0,0,0,1,0,48,2,68,70,0,1,0,0,0,0,1,0,0,230,64,0,0,0,1,18-05-2024:6c3b2525436cf5d4:L,img/victor_martinez.png,http://ufcstats.com/fighter-details/3e708ce33b6b18e6
Melissa Martinez (Super Mely),W_Strawweight,,18-08-1997,8-2-0,264,116,184,0,0,3,0,0,0,1,32,81,62,66,1,1,0,0,0,1,1,0,0,828,405,3,0,0,2,"12-07-2025:745fa7b605f8e2da:L,19-10-2024:87f8699fdcc2c404:W",img/melissa_martinez.png,http://ufcstats.com/fighter-details/3f4c3bc822bea45d
David Martinez,Bantamweight,9,03-08-1998,14-1-0,351,160,98,7,2,5,0,0,1,0,178,63,65,67,3,0,0,1,0,2,0,0,0,692,327,5,0,0,3,"28-02-2026:7c7332319c14094c:W,13-09-2025:05339613bf8e9808:W,29-03-2025:72ea1984c52019b5:W",img/david_martinez.png,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
Jorge Masvidal (Gamebred),Welterweight,,12-11-1984,35-17-0,91,39,42,0,0,2,0,0,0,0,5,341,71,74,0,1,0,0,0,0,0,0,1,900,99,6,4,0,1,08-04-2023:23024fdfc966410a:L,img/jorge_masvidal.png,http://ufcstats.com/fighter-details/47b9e0e7703a4868
Jean Matsumoto,Bantamweight,,09-09-1999,17-2-0,870,356,361,35,17,23,3,1,0,0,929,989,66,68,3,2,0,0,1,2,0,0,2,839,687,42,19,1,5,"07-02-2026:a09ed60aa67a3f67:L,09-08-2025:46e0d677f91bacc0:W,22-02-2025:05339613bf8e9808:L,19-10-2024:7b433309b0fd12aa:W,06-04-2024:e4ba58725825412d:W",img/jean_matsumoto.png,http://ufcstats.com/fighter-details/ffd3224638c01b57
Jake Matthews (The Celtic Kid),Welterweight,,19-08-1994,22-8-0,649,272,249,5,2,11,5,0,0,0,614,482,71,73,4,2,0,0,2,2,0,1,1,669,589,16,5,1,6,"27-09-2025:84b3e7d38f2d2ec5:L,12-07-2025:c68c68efaa5ca6ef:W,08-02-2025:3920d0cc288f9b0d:W,01-06-2024:8e382b585a92affe:W,18-11-2023:c32aeb1a59e6272d:L,29-07-2023:65db4065e2bc107d:W",img/jake_matthews.png,http://ufcstats.com/fighter-details/a845f0735bc67405
Connor Matthews (The Controller),Featherweight,,31-05-1992,7-4-0,171,69,113,6,3,0,0,0,0,2,87,96,68,71,0,3,0,0,0,0,2,1,0,324,253,1,1,1,3,"17-05-2025:70380ccdc81915b8:L,15-02-2025:7d6ceff6747f2de2:L,30-03-2024:c4d039123e62f6a9:L",img/connor_matthews.png,http://ufcstats.com/fighter-details/36e78278a77006d4
Don'Tale Mayes (Lord Kong),Heavyweight,,16-01-1992,11-9-0 (1 NC),500,202,230,4,0,5,0,1,2,0,77,1746,78,81,2,4,0,1,0,1,0,1,3,695,469,17,12,2,6,"03-05-2025:764d39074a352e33:L,15-02-2025:f5779a2303ed76ec:L,03-08-2024:6747ccd6d1acd266:L,27-04-2024:89839250eb25c9c1:W,04-11-2023:d31a5546c0e9b213:L,03-06-2023:3738e68d2261e60f:W",img/dontale_mayes.png,http://ufcstats.com/fighter-details/1a9480fc288e55d7
Molly McCann (Meatball),W_Strawweight,,04-05-1990,14-8-0,184,89,93,9,4,0,1,1,0,0,286,558,64,62,1,3,0,0,1,0,0,2,1,396,201,5,5,3,4,"22-03-2025:545092d13c67aa49:L,27-07-2024:7138a15258dabf20:L,03-02-2024:d7e40dca3ae125be:W,22-07-2023:a78a87d8c2bbb1cb:L",img/molly_mccann.png,http://ufcstats.com/fighter-details/51018a31ddf31eb2
Eric McConico,Middleweight,,09-05-1990,10-4-1,192,84,104,0,0,9,0,0,0,3,329,557,72,77,1,2,0,0,0,1,2,0,0,643,195,14,5,0,3,"15-11-2025:d1feea7a4bdcd503:L,09-08-2025:f14f644d41ade29f:W,22-02-2025:49d2a08964c5eb11:L",img/eric_mcconico.png,http://ufcstats.com/fighter-details/9508cc6184cb2450
